  [Debug]  Totally Frames:  441000
  [Debug]  The Framerate of the audio file:  44100
  [Debug]  The difiniton rate(frequency range per index point):  1.00002267625
  [Debug]  The Primary Frequency Peak
    freq: 17688.4010975 energy: 447.881976707
    freq: 17689.4011202 energy: 450.494251633
    freq: 17699.401347 energy: 495.606289077
    freq: 17735.4021633 energy: 436.505593614
    freq: 17740.4022767 energy: 461.751112043
    freq: 17748.4024581 energy: 411.569661486
    freq: 17751.4025261 energy: 406.335074909
    freq: 17766.4028663 energy: 575.878641369
    freq: 17767.402889 energy: 494.224503234
    freq: 17774.4030477 energy: 604.768240717
    freq: 17775.4030704 energy: 514.896206776
    freq: 17781.4032064 energy: 423.626097035
    freq: 17782.4032291 energy: 428.674814801
    freq: 17787.4033425 energy: 425.544201526
    freq: 17794.4035012 energy: 529.773987995
    freq: 17797.4035692 energy: 409.584163323
    freq: 17798.4035919 energy: 501.244773565
    freq: 17801.4036599 energy: 418.740292826
    freq: 17802.4036826 energy: 463.193537998
    freq: 17804.403728 energy: 409.308135303
    freq: 17806.4037733 energy: 404.042405469
    freq: 17807.403796 energy: 500.87715183
    freq: 17808.4038187 energy: 405.050218644
    freq: 17812.4039094 energy: 438.671384834
    freq: 17813.4039321 energy: 720.170994309
    freq: 17814.4039547 energy: 451.322251234
    freq: 17819.4040681 energy: 646.071026853
    freq: 17820.4040908 energy: 640.80394132
    freq: 17825.4042042 energy: 497.79470249
    freq: 17826.4042269 energy: 516.079354729
    freq: 17827.4042495 energy: 415.882292281
    freq: 17829.4042949 energy: 479.278078857
    freq: 17831.4043402 energy: 583.260487226
    freq: 17832.4043629 energy: 473.273525737
    freq: 17834.4044083 energy: 512.229025561
    freq: 17835.4044309 energy: 552.399756555
    freq: 17837.4044763 energy: 491.132543032
    freq: 17839.4045216 energy: 579.628675565
    freq: 17840.4045443 energy: 458.332500931
    freq: 17844.404635 energy: 793.528548446
    freq: 17845.4046577 energy: 558.589533664
    freq: 17849.4047484 energy: 690.519792295
    freq: 17850.4047711 energy: 758.243031249
    freq: 17854.4048618 energy: 613.979414937
    freq: 17855.4048845 energy: 638.477100898
    freq: 17857.4049298 energy: 501.423091996
    freq: 17858.4049525 energy: 534.161428021
    freq: 17859.4049752 energy: 416.990738033
    freq: 17860.4049978 energy: 603.438147441
    freq: 17862.4050432 energy: 636.145168859
    freq: 17863.4050659 energy: 581.436623642
    freq: 17866.4051339 energy: 796.06935002
    freq: 17867.4051566 energy: 741.872932812
    freq: 17870.4052246 energy: 450.494901694
    freq: 17871.4052473 energy: 908.09764725
    freq: 17872.40527 energy: 597.106068734
    freq: 17874.4053153 energy: 499.373786402
    freq: 17875.405338 energy: 624.278274447
    freq: 17876.4053607 energy: 736.406761242
    freq: 17877.4053833 energy: 428.882104742
    freq: 17878.405406 energy: 437.355169711
    freq: 17879.4054287 energy: 807.249712484
    freq: 17880.4054514 energy: 582.650832945
    freq: 17881.405474 energy: 432.539366469
    freq: 17882.4054967 energy: 404.825702651
    freq: 17883.4055194 energy: 976.128863066
    freq: 17884.4055421 energy: 599.490907782
    freq: 17886.4055874 energy: 413.75046261
